id,redshift,mag_u,mag_g,mag_r,mag_i,mag_z,deVRad_r,deVAB_r,expRad_r,expAB_r,stellar_mass,class
588848900436656000,0.032409,18.375757,17.125142999999998,16.54818,16.245584,15.96766,10.962308,0.39529200000000003,4.652638,0.415004,9.638924000000001,1
587728947975356000,0.040438999999999996,19.27211,17.568918,16.798674,16.441154,16.158356,5.331748,0.725598,2.494936,0.763876,9.910633,0
587728948512293000,0.095323,19.319952,17.473118,16.497669000000002,16.061934,15.683691,2.0696060000000003,0.915309,1.439123,0.823433,11.008225,0
587728947974832000,0.190908,21.114531,18.803946,17.546703,17.075094,16.665571,1.518333,0.69714,1.008732,0.742725,11.270762,0
587728948511637000,0.045235000000000004,16.581352,14.992992000000001,14.297410000000001,13.933677,13.665813,4.898501,0.734441,3.5205629999999997,0.680434,10.964179,0
587728950122184000,0.12151600000000001,19.572292,17.897753,17.01899,16.644733,16.276577,2.804138,0.6398520000000001,1.54398,0.593437,10.794865,1
588848899900506000,0.184329,20.418076,18.402731,17.169369,16.684975,16.352663,1.768829,0.899041,1.063742,0.921284,11.349908000000001,0
588848899363897000,0.046002999999999995,16.922131,15.051826,14.204854000000001,13.816623000000002,13.516675,4.671139,0.786451,3.577093,0.760781,11.149819,0
588848899900965000,0.095064,20.235895000000003,18.423733,17.518032,17.096352,16.799967000000002,2.698413,0.259822,1.843177,0.30591399999999996,10.496682,1
587728948511834000,0.216088,20.871115,18.809263,17.404892,16.896079999999998,16.589418,2.126211,0.8857010000000001,1.035765,0.9337540000000001,11.458881,0
587728948511768000,0.096108,19.942335,18.273417000000002,17.293945,16.809601,16.359631,7.938714999999999,0.327381,3.5431230000000005,0.35379099999999997,10.804352,1
587728950122315000,0.12643800000000002,19.548405,18.319834,17.744608,17.377610999999998,17.183632,2.122093,0.8524309999999999,1.263126,0.879576,10.29985,1
588848900437508000,0.09747,19.766914,17.814165,16.884905,16.47039,16.140839,2.145853,0.279954,1.60741,0.342498,10.789457,1
587728949049032000,0.069853,18.669622,17.388742,16.795707999999998,16.416542,16.161285,4.76055,0.446942,2.546957,0.47553599999999996,10.283147999999999,1
588848900438032000,0.116953,19.177725,17.194107000000002,16.17087,15.728845999999999,15.354816,2.773947,0.897351,1.8341319999999999,0.879209,11.365944,0
588848900438032000,0.095967,19.347813000000002,17.594749,16.660698,16.181245999999998,15.783114000000001,5.01783,0.459074,2.5015680000000002,0.48219300000000004,11.027991,1
588848898827944000,0.043296,18.012242999999998,16.870967999999998,16.439365,16.175352,16.107779999999998,13.643725,0.999674,4.770624,0.986684,9.625029,1
