objID,ra,dec,z,r,expRad_r,expAB_r,deVRad_r,deVAB_r
587727226764918925,2.40908431,-9.70716424,0.350565,17.831804,3.193955,0.565811,7.833503,0.572978
587727227301068969,0.8070994,-9.32573514,0.359453,18.184717,1.535558,0.795164,2.806776,0.85298
587727227837808788,0.39544278,-8.8652171,0.176472,17.159636,2.29867,0.774594,4.790451,0.768714
587727227838398617,1.78001073,-8.82228894,0.189169,17.729578,2.799344,0.728784,6.845854,0.699428
587727227839119502,3.44206337,-8.87182868,0.330538,17.987953,1.932897,0.926885,3.982734,0.950665
587727227839316315,3.8995031,-8.79027475,0.40971,18.992348,1.005529,0.92726,1.807297,0.87932
587727227839512665,4.34804743,-8.86064876,0.177034,17.510864,2.378685,0.590249,4.987567,0.550004
587730772815380785,0.90443609,13.83089018,0.397413,18.979216,1.208247,0.808981,2.608579,0.752285
587730773353038051,2.71300054,14.28213951,0.299954,18.414013,1.205601,0.7654,2.226987,0.740167
587730773888925926,0.37225844,14.72646324,0.098054,17.376873,4.249426,0.232187,9.130732,0.201357
587730773889253515,1.21627146,14.60432023,0.141425,17.705677,2.012339,0.376091,3.65724,0.340357
587730773890826482,4.84977993,14.65308914,0.303661,17.974493,2.01545,0.715387,5.056663,0.640919
587730774426255557,1.49215041,14.99360636,0.348716,19.227043,0.808262,0.862311,1.405216,0.839629
587730774426779882,2.7631177,15.17546056,0.080958,16.786448,4.541759,0.75951,12.512089,0.749948
587730774962733280,0.49344242,15.50405774,0.132275,17.561462,2.06123,0.434596,3.797807,0.384854
587730774963781861,3.06596921,15.47134468,0.155164,17.462891,2.354288,0.819227,5.117589,0.80391
587730775499800797,1.0557562,15.84440831,0.116605,16.896339,2.831719,0.551964,5.132391,0.559811
587731185668850016,4.17251207,-0.49573753,0.34677,18.499468,1.027464,0.940548,2.144388,0.875364
587731186204475676,1.33088677,-0.09020821,0.138438,17.195267,4.246949,0.8339,11.825801,0.832854
587731186205524137,3.67443006,-0.04855571,0.065623,16.75729,5.776691,0.199989,13.843786,0.188162
587731186205589654,3.89890339,-0.16243283,0.068048,17.310284,3.002149,0.915928,7.940568,0.91022
587731186205786214,4.22881372,-0.08822854,0.032847,14.782598,10.459641,0.535116,26.709007,0.585892
587731186205982864,4.66346486,-0.07419919,0.319149,18.012455,1.857111,0.724703,3.781459,0.75841
587731186741018817,0.5076277,0.34698653,0.300779,17.437927,1.953309,0.891288,4.420432,0.883748
587731186741084332,0.62891785,0.30463473,0.299827,18.12911,1.163857,0.812689,1.841319,0.825131
587731187278872795,2.72430655,0.80353707,0.114233,17.386028,4.355306,0.557006,12.046633,0.528548
587731187816136870,3.73553658,1.13988133,0.150854,16.944443,4.049934,0.606947,9.890641,0.584934
588013383280492674,182.96095348,52.49765159,0.062399,16.755606,5.293659,0.462989,12.322847,0.462611
588015508197015714,3.18188729,-0.70759445,0.343839,18.57029,0.873782,0.932178,1.566806,0.882303
588015508197933293,5.21483604,-0.75690258,0.346444,18.605467,1.909163,0.525942,3.358053,0.531301
