"id","ra","dec","nvote","p_e","p_s","type","class"
588015510361407616,"02:47:19.21","+01:02:46.9",33,0.026,0.974,"S","CW"
587724240153214976,"02:50:01.55","-08:57:23.5",59,0.091,0.81,"S","CW"
587724240153214976,"02:50:22.34","-08:48:43.3",28,0.25,0,"U","U"
587724240156819584,"03:23:19.12","-07:59:23.0",30,0.823,0.132,"U","U"
587724240156819584,"03:23:20.72","-08:01:54.5",31,0.806,0.097,"E","E6"
587724240156819584,"03:23:22.87","-07:56:15.3",47,0.181,0.542,"U","U"
587724240692969600,"03:16:19.03","-07:47:01.7",24,0.708,0.125,"U","U"
587724240692969600,"03:16:23.37","-07:47:49.8",35,0.429,0.486,"U","U"
587724240692969600,"03:16:23.43","-07:48:59.9",28,0.04,0.916,"S","ACW"
587724240692969600,"03:16:51.26","-07:49:06.1",28,0.457,0.453,"U","U"
587724240697229568,"03:55:25.77","-06:21:51.6",57,0.343,0.618,"U","U"
587724240697229568,"03:55:43.36","-06:23:42.2",29,0.269,0.59,"U","U"
587724241228857472,"03:07:12.42","-07:38:54.3",27,0.675,0.202,"U","U"
587724241228857472,"03:07:39.15","-07:34:05.8",58,0.788,0.195,"U","U"
587724241235083392,"04:03:59.87","-05:45:42.8",37,0.703,0.081,"U","U"
587724241235083392,"04:04:05.71","-05:45:59.8",29,0.786,0.076,"U","U"
587724241235083392,"04:04:10.92","-05:38:09.0",55,0.522,0.411,"U","U"
587724241235083392,"04:04:19.39","-05:48:43.2",31,0.671,0.289,"E","E5"
587724241769070848,"03:37:53.24","-06:09:03.4",58,0.966,0,"E","E6"
587724241769136384,"03:38:13.45","-06:10:17.1",24,0.476,0.436,"U","U"
587724241769136384,"03:38:23.36","-06:17:02.6",57,0.776,0.136,"E","E0"
587724242303844608,"03:18:22.10","-06:26:06.0",37,0,1,"S","CW"
587724242304893056,"03:27:44.72","-06:04:51.3",31,0.243,0.484,"U","U"
587724242307448960,"03:50:52.75","-05:17:09.5",30,0.733,0.133,"U","U"
587724242307448960,"03:51:07.04","-05:19:23.4",56,0.105,0.615,"U","U"
587724242307448960,"03:51:15.19","-05:26:31.0",30,0.433,0.5,"U","U"
587724242307448960,"03:51:19.85","-05:22:01.3",36,0.31,0.37,"U","U"
587724242308366720,"03:59:42.19","-05:02:32.3",65,0.004,0.981,"S","EDGE"
587724242838028416,"02:53:20.67","-06:45:53.7",27,0.267,0.352,"U","U"
587724242838028416,"02:53:21.84","-06:41:13.0",30,0.502,0.161,"U","U"
587724242838028416,"02:53:29.63","-06:47:14.1",21,0.102,0.76,"U","U"
587724242838028416,"02:53:31.76","-06:46:09.8",53,0.06,0.87,"S","EDGE"
587724242838028416,"02:53:33.73","-06:46:57.2",66,0.8,0.063,"U","U"
587724242838028416,"02:53:40.28","-06:46:17.9",41,0.927,0,"E","E2"
587724242838028416,"02:53:56.06","-06:47:57.6",33,0.048,0.85,"S","EDGE"
587725469052371072,"07:52:36.62","+38:44:35.6",32,0.051,0.531,"U","U"
587725469588258944,"07:44:21.91","+37:11:28.0",50,0.331,0.326,"U","U"
587725470125195520,"07:42:38.90","+37:29:01.2",27,0.773,0.146,"U","U"
587725470125195520,"07:42:53.52","+37:29:23.0",27,0.179,0.821,"U","U"
587725470125195520,"07:43:19.50","+37:24:55.4",30,0.043,0.957,"S","ACW"
587725470127358208,"07:56:36.62","+41:37:03.7",27,0.866,0.093,"U","U"
587725470127358208,"07:56:37.30","+41:36:43.0",28,0.073,0.873,"S","CW"
587725470127358208,"07:57:19.02","+41:31:55.0",57,0.118,0.794,"S","EDGE"
587725470127358208,"07:57:23.13","+41:38:04.7",37,0.554,0.446,"U","U"
587725470127358208,"07:57:26.86","+41:36:58.8",27,0.013,0.987,"S","EDGE"
587725470664884608,"08:00:07.64","+43:07:10.3",33,0.736,0.264,"U","U"
587725470664884608,"08:00:18.45","+43:05:51.2",54,0.667,0.296,"U","U"
587725551194603776,"07:56:28.06","+44:05:48.6",27,0.517,0.483,"U","U"
587725551194603776,"07:56:32.77","+44:05:00.1",31,0.152,0.727,"U","U"
587725551194603776,"07:56:44.98","+44:05:36.8",28,0.095,0.749,"U","U"
587725551195390080,"08:01:46.94","+45:36:10.8",59,0.146,0.81,"U","U"
587725551727477248,"07:30:34.71","+36:31:45.5",56,0.44,0.454,"U","U"
587725551732130176,"07:59:19.70","+45:35:09.9",56,0.208,0.579,"U","U"
587725552806396288,"07:59:26.47","+47:03:40.6",26,0.223,0.457,"U","U"
587725552806396288,"07:59:32.89","+47:05:15.4",28,0.219,0.733,"U","U"
587725774528381440,"07:32:27.01","+36:30:10.9",38,0.209,0.494,"U","U"
587725774532182272,"07:54:36.44","+44:01:02.8",33,0.337,0.617,"S","EDGE"
587725774532182272,"07:54:47.20","+44:04:41.2",24,0.207,0.643,"U","U"
587725774532182272,"07:54:51.74","+44:03:47.9",48,0.116,0.618,"U","U"
587725774532182272,"07:55:06.76","+44:01:51.9",51,0.027,0.951,"S","CW"
587725774532182272,"07:55:24.90","+43:58:41.8",61,0.016,0.951,"S","ACW"
587725775602909696,"07:32:30.28","+38:31:44.8",27,0.015,0.985,"S","EDGE"
587725775602909696,"07:33:05.93","+38:28:28.5",29,0.778,0.145,"U","U"
587725775605071872,"07:44:53.21","+42:45:23.2",37,0.153,0.385,"U","U"
587725775606775936,"07:56:21.97","+46:04:58.0",65,0.121,0.833,"S","EDGE"
587725775606775936,"07:57:06.59","+46:00:48.6",33,0.044,0.956,"S","CW"
587727177932603520,"03:05:11.90","-08:46:59.7",27,0.556,0.407,"U","U"
587727177932603520,"03:05:15.39","-08:45:54.2",54,0.074,0.834,"S","ACW"
587727177932603520,"03:05:25.18","-08:42:46.7",54,0.228,0.693,"U","U"
587727177937846400,"03:53:22.56","-07:15:55.5",38,0.864,0.055,"U","U"
587727177937846400,"03:53:33.48","-07:08:54.1",25,0.582,0.096,"U","U"
587727178468753536,"02:58:41.32","-08:34:00.8",46,0.367,0.375,"U","U"
587727178469933184,"03:09:21.56","-08:04:23.4",33,0.171,0.603,"U","U"
587727178469933184,"03:09:23.34","-08:09:42.3",49,0.251,0.575,"U","U"
587727178469933184,"03:09:29.57","-08:05:28.4",50,0.796,0.084,"U","U"
587727178470064256,"03:10:38.71","-08:04:29.6",52,0.13,0.842,"U","U"
587727178470064256,"03:10:40.92","-08:11:11.0",29,0.896,0.036,"E","E1"
587727178470064256,"03:10:41.61","-08:12:06.8",50,0.306,0.613,"U","U"
587727178470850816,"03:17:44.73","-07:56:57.7",33,0,0.03,"U","U"
587727178470850816,"03:17:51.80","-07:51:35.5",51,0.112,0.888,"S","EDGE"
587727178470850816,"03:18:04.66","-07:56:14.1",26,0.038,0,"U","U"
587727178473275520,"03:39:46.18","-07:08:10.2",35,0.031,0.936,"S","EDGE"
587727178473275520,"03:39:50.59","-07:14:37.1",28,0.2,0.712,"U","U"
587727178473275520,"03:40:09.30","-07:17:01.1",57,0.754,0.175,"U","U"
587727179006804096,"03:09:02.35","-07:43:20.9",23,0.306,0.4,"U","U"
587727179006804096,"03:09:28.18","-07:43:15.5",65,0.031,0.908,"S","ACW"
587727179009163392,"03:30:37.14","-07:09:38.1",71,0.393,0.582,"U","U"
587727179009163392,"03:30:40.73","-07:02:06.1",31,0.489,0.325,"U","U"
587727179009163392,"03:30:41.58","-06:59:20.9",36,0.551,0.317,"U","U"
587727179009163392,"03:30:41.96","-07:03:35.4",67,0.816,0.09,"U","U"
587727179009163392,"03:30:48.86","-07:02:48.2",70,0.014,0.971,"S","CW"
587727179009884288,"03:37:38.84","-06:57:31.5",39,0.359,0.359,"U","U"
587727179541643392,"02:50:13.82","-07:53:00.0",26,0.1,0.9,"S","EDGE"
587727179547934976,"03:47:47.92","-06:10:53.9",49,0.064,0.911,"U","U"
587727179548655872,"03:54:14.15","-05:54:39.1",32,0.86,0.077,"E","E4"
587727179549507712,"04:02:23.73","-05:34:27.4",32,0.594,0.406,"U","U"
587727179550228736,"04:08:30.24","-05:19:44.9",25,0.757,0.123,"U","U"
587727180078579840,"02:50:43.10","-07:21:27.4",48,0.708,0.129,"U","U"
587727180078579840,"02:50:43.28","-07:21:06.4",23,0.348,0.652,"U","U"
587727180078579840,"02:50:49.83","-07:23:50.6",25,0.09,0.789,"S","EDGE"
587727180082446464,"03:25:54.11","-06:25:16.4",22,0.493,0.101,"U","U"
587727180082446464,"03:26:20.82","-06:29:01.4",64,0.668,0.3,"U","U"
587727180082446464,"03:26:23.83","-06:23:03.5",58,0.31,0.672,"U","U"
587727180085067904,"03:49:55.89","-05:31:54.1",61,0.118,0.809,"S","EDGE"
587727180085067904,"03:50:13.88","-05:31:32.6",54,0.263,0.324,"U","U"
587727180085198976,"03:51:03.93","-05:38:31.3",26,0.846,0,"E","E6"
587727180615385216,"02:50:12.48","-07:05:05.7",30,0.026,0.937,"S","EDGE"
587727180615385216,"02:50:19.53","-07:02:23.3",39,0.442,0.455,"U","U"
587727180616499328,"03:00:27.54","-06:39:29.2",48,0.054,0.925,"S","EDGE"
587727180616499328,"03:00:31.26","-06:44:37.1",24,0.027,0.973,"S","EDGE"
587727180617482368,"03:09:19.28","-06:28:09.9",28,0.964,0,"E","E5"
587727180617482368,"03:09:26.20","-06:28:09.3",39,0.864,0.056,"E","E5"
587727180617482368,"03:09:27.05","-06:31:41.8",40,0.145,0.814,"S","EDGE"
587727180617613440,"03:10:05.63","-06:23:06.7",50,0.4,0.44,"U","U"
587727180617613440,"03:10:18.04","-06:26:05.0",28,0.046,0.3,"U","U"
587727180617613440,"03:10:25.96","-06:27:18.3",45,0.062,0.816,"U","U"
587727180619251968,"03:25:32.65","-05:56:09.6",32,0.688,0.188,"U","U"
587727180620431616,"03:36:06.26","-05:39:44.2",30,0.15,0.792,"U","U"
587727180620431616,"03:36:15.96","-05:38:53.4",66,0.054,0.946,"S","ACW"
587727180620431616,"03:36:22.04","-05:37:33.0",32,0.199,0.758,"S","EDGE"
587727180620431616,"03:36:23.71","-05:43:44.0",25,0.803,0.116,"E","E6"
587727180621348992,"03:44:17.59","-05:21:18.8",68,0.039,0.911,"S","EDGE"
587727180621348992,"03:44:20.60","-05:23:18.0",38,0.911,0.036,"E","E6"
587727180621348992,"03:44:21.29","-05:25:05.3",60,0.289,0.455,"U","U"
587727180621348992,"03:44:22.52","-05:21:10.7",24,0.665,0.208,"U","U"
587727866180075904,"07:46:34.51","+34:48:18.4",62,0.823,0.113,"U","U"
587727866180075904,"07:46:46.28","+34:44:08.4",32,0.557,0.219,"U","U"
587727866182107392,"07:59:55.54","+38:27:49.1",51,0.881,0.04,"U","U"
587727866182107392,"08:00:01.99","+38:30:01.5",28,0.821,0.107,"E","E2"
587727866182107392,"08:00:05.11","+38:32:48.4",28,0.224,0.43,"U","U"
587727866718716288,"07:56:10.19","+38:24:03.3",32,0.508,0.298,"U","U"
587727866718716288,"07:56:14.13","+38:19:43.9",30,0.442,0.38,"U","U"
587727866718716288,"07:56:32.65","+38:15:57.6",37,0.246,0.687,"S","EDGE"
587727866718716288,"07:56:32.80","+38:20:21.8",43,0.131,0.844,"U","U"
587727866718716288,"07:56:38.59","+38:16:34.5",41,0.073,0.927,"U","U"
587727867254210560,"07:45:31.50","+35:56:39.3",31,0.032,0.931,"S","EDGE"
587728669339025536,"07:46:08.59","+34:56:12.1",58,0.379,0.19,"U","U"
587728669340205440,"07:53:28.81","+37:17:54.0",35,0.5,0.177,"U","U"
587728669340205440,"07:53:32.61","+37:15:36.8",66,0.697,0.091,"U","U"
587728669340205440,"07:53:36.31","+37:12:14.3",41,0.54,0.165,"U","U"
587728669340205440,"07:53:54.84","+37:14:28.9",28,0.034,0.923,"S","EDGE"
587728669340205440,"07:54:16.07","+37:11:16.0",28,0.104,0.804,"U","U"
587728669874848000,"07:37:54.83","+33:15:04.1",26,0.179,0.537,"U","U"
587728669874848128,"07:37:56.01","+33:11:41.5",32,0.121,0.745,"U","U"
587728669874848128,"07:37:57.81","+33:10:18.8",28,0.145,0.324,"U","U"
587728669874848128,"07:38:01.49","+33:08:01.4",23,0.041,0.725,"U","U"
587728669877207552,"07:53:14.96","+37:38:52.5",59,0.146,0.778,"U","U"
587728905562947840,"07:52:08.04","+33:35:07.0",34,0.127,0.834,"S","CW"
587728905562947840,"07:52:21.84","+33:33:48.9",32,0.969,0,"E","E1"
587728905562947840,"07:52:27.55","+33:33:59.7",35,0.382,0.373,"U","U"
587728906636100096,"07:45:06.34","+33:01:45.5",32,0.274,0.674,"U","U"
587728931332948480,"07:40:37.56","+30:35:08.5",8,0.25,0,"U","U"
587728931333538176,"07:43:46.16","+31:41:55.0",32,0.172,0.563,"U","U"
587728931870212480,"07:41:31.83","+31:35:48.7",66,0.318,0.03,"U","U"
587728932406624384,"07:36:51.82","+30:53:30.2",59,0.339,0.492,"U","U"
587728932409442688,"07:55:09.74","+36:11:07.2",29,0.774,0.169,"U","U"
587728932409442688,"07:55:13.02","+36:05:10.2",60,0.096,0.825,"S","EDGE"
587728932409442688,"07:55:27.67","+36:07:49.6",35,0.8,0.086,"U","U"
587731511544381568,"03:07:47.24","-00:58:21.6",36,0.91,0.034,"E","E3"
587731511544381568,"03:07:53.15","-00:55:22.6",34,0.912,0.059,"E","E3"
587731511544381568,"03:07:55.02","-00:56:47.9",59,0.881,0.102,"U","U"
587731511544381568,"03:08:05.47","-00:58:42.7",34,0.559,0.382,"U","U"
587731511544381568,"03:08:06.30","-00:59:41.5",21,0.571,0.333,"U","U"
587731511546675328,"03:28:50.90","-01:00:00.9",27,0.134,0.866,"S","EDGE"
587731511546675328,"03:29:02.58","-00:55:38.8",23,0,1,"S","CW"
587731511546675328,"03:29:05.13","-00:52:05.0",28,0.738,0.114,"U","U"
587731511546675456,"03:29:06.22","-00:57:02.9",59,0.288,0.627,"U","U"
587731511546675456,"03:29:14.50","-00:54:51.4",54,0.711,0.168,"U","U"
587731511817011456,"03:46:11.43","-00:59:15.6",30,0.299,0.558,"U","U"
587731512081645824,"03:11:21.69","-00:37:22.9",56,0.161,0.625,"U","U"
587731512081645824,"03:11:36.44","-00:33:41.7",25,0.013,0.905,"S","EDGE"
587731512081318016,"03:08:24.62","-00:33:30.8",25,0,1,"S","EDGE"
587731512081318016,"03:08:35.38","-00:37:04.4",19,0.341,0.559,"U","U"
587731512081318016,"03:08:43.60","-00:31:34.4",24,0,0.958,"S","CW"
587731512616353920,"02:51:40.02","-00:06:28.8",45,0.077,0.89,"S","EDGE"
587731512616353920,"02:51:46.76","-00:09:52.3",26,0.95,0.05,"E","E1"
587731512617009152,"02:57:42.14","-00:03:13.1",60,0.011,0.752,"U","U"
587731512617533568,"03:02:22.28","-00:05:26.4",30,0.074,0.847,"S","ACW"
587731512617533568,"03:02:23.05","-00:00:39.6",28,0.51,0.355,"U","U"
587731512617533568,"03:02:24.64","-00:03:56.1",39,0.69,0.093,"U","U"
587731512617533568,"03:02:47.03","-00:12:04.2",55,0.727,0.255,"U","U"
587731512617533568,"03:02:50.13","-00:11:04.0",67,0.79,0.164,"E","E4"
587731512617795840,"03:04:57.77","-00:04:25.9",30,0.21,0.668,"U","U"
587731512618778880,"03:14:04.09","-00:00:29.5",25,0,0.96,"S","ACW"
587731512619434112,"03:19:45.63","-00:04:37.9",38,0.281,0.666,"U","U"
587731512619434112,"03:20:08.16","-00:06:27.8",30,0.713,0.119,"U","U"
587731512622383232,"03:46:47.03","-00:04:10.4",34,0.015,0.985,"S","EDGE"
587731512622383232,"03:46:53.10","-00:11:19.2",31,0.939,0.061,"U","U"
587731512622383232,"03:46:54.59","-00:09:47.4",29,0.296,0.547,"U","U"
587731512623104128,"03:53:17.97","-00:00:33.3",58,0.61,0.246,"U","U"
587731512623104128,"03:53:29.47","-00:06:55.5",63,0.637,0.11,"U","U"
587731512623104128,"03:53:32.84","-00:06:28.8",26,0.445,0.253,"U","U"
587731512623104128,"03:53:47.65","-00:08:16.2",36,0.084,0.859,"S","ACW"
587731513154863232,"03:06:38.57","+00:22:24.9",19,0.947,0,"E","E7"
587731513155387520,"03:11:20.01","+00:14:00.6",26,0.799,0.122,"U","U"
587731513155387520,"03:11:25.85","+00:23:38.5",35,0.335,0.491,"U","U"
587731513155387520,"03:11:27.17","+00:17:38.3",64,0.352,0.456,"U","U"
587731513155387520,"03:11:34.65","+00:18:29.3",31,0.611,0.29,"U","U"
587731513157353728,"03:29:39.53","+00:19:59.1",26,0.876,0.047,"E","E1"
587731513157943424,"03:35:00.65","+00:20:44.0",32,0.834,0.135,"U","U"
587731513157943424,"03:35:02.33","+00:22:54.2",27,0.945,0.055,"E","E3"
587731513157943424,"03:35:06.80","+00:20:13.7",29,0.034,0.966,"S","ACW"
587731513157943424,"03:35:07.37","+00:12:56.4",29,0.181,0.776,"S","EDGE"
587731513159450624,"03:48:31.19","+00:24:00.2",39,0.347,0.096,"U","U"
587731513159647360,"03:50:41.00","+00:20:38.4",39,0.24,0.67,"U","U"
587731513159778560,"03:51:53.18","+00:21:15.2",59,0.838,0.077,"U","U"
587731513159778560,"03:51:55.65","+00:18:58.5",53,0.755,0.057,"U","U"
587731513156698368,"03:23:39.68","+00:18:32.8",64,0.641,0.297,"U","U"
587731513156698368,"03:23:48.57","+00:19:23.1",54,0.296,0.566,"U","U"
587731513159844096,"03:52:17.59","+00:19:24.6",27,0.778,0.074,"U","U"
587731513159844096,"03:52:33.92","+00:20:24.7",26,0.846,0.077,"E","E6"
587731513690816640,"02:58:18.77","+00:40:43.3",53,0.598,0.324,"U","U"
587731513690816640,"02:58:19.35","+00:40:38.8",32,0.139,0.568,"U","U"
587731513690816640,"02:58:24.46","+00:38:15.2",30,0.224,0.073,"U","U"
587731513690816640,"02:58:27.68","+00:42:02.0",58,0.234,0.653,"U","U"
587731513690816640,"02:58:30.11","+00:47:39.2",35,0.646,0.297,"U","U"
587731513690816768,"02:58:18.20","+00:49:31.1",38,0.263,0.289,"U","U"
587731513690882304,"02:58:46.14","+00:39:59.3",27,0,1,"S","EDGE"
587731513690882304,"02:59:03.52","+00:45:58.9",49,0.22,0.725,"U","U"
587731513694093440,"03:28:13.69","+00:48:29.5",23,0.169,0.831,"S","EDGE"
587731513694093440,"03:28:22.10","+00:38:07.4",27,0.008,0.954,"S","CW"
587731513694224640,"03:29:34.51","+00:39:32.1",55,0.24,0.739,"U","U"
587731514226901120,"02:51:22.04","+01:04:10.8",36,0.58,0.2,"U","U"
587731514226901120,"02:51:22.85","+01:08:54.6",25,0.593,0.257,"U","U"
587731514228080768,"03:01:50.32","+01:04:51.7",62,0.034,0.948,"S","ACW"
587731514228080768,"03:02:01.14","+01:07:48.7",33,0.071,0.929,"S","CW"
587731514228080768,"03:02:07.86","+01:15:05.3",33,0.759,0.241,"U","U"
587731514228539520,"03:06:04.73","+01:09:00.0",27,0.207,0.541,"U","U"
587731514231619712,"03:34:05.99","+01:05:40.2",49,0.347,0.551,"U","U"
587731514231619712,"03:34:08.30","+01:08:53.6",24,0.218,0.782,"S","ACW"
587731514231619712,"03:34:10.55","+01:06:12.1",29,0,0.897,"S","ACW"
587731514231619712,"03:34:12.18","+01:10:28.9",60,0.215,0.018,"U","U"
587731514231619712,"03:34:13.39","+01:04:32.2",32,0.083,0.885,"S","CW"
587731514231619712,"03:34:19.35","+01:07:55.8",22,0.705,0.245,"U","U"
587731514231619712,"03:34:23.70","+01:03:44.4",61,0.173,0.422,"U","U"
587731521197768832,"07:50:38.48","+28:19:53.5",27,0.077,0.729,"U","U"
587731521199276416,"08:01:23.22","+30:49:41.1",25,0.788,0.052,"U","U"
587731521734181248,"07:46:15.26","+27:46:10.3",46,0.065,0.891,"S","CW"
587731521735688448,"07:56:06.71","+30:21:18.3",33,0.281,0.635,"U","U"
587731521735688448,"07:56:15.50","+30:19:49.3",27,0.035,0.61,"U","U"
587731521736212864,"07:59:35.50","+31:17:46.7",52,0.275,0.685,"U","U"
587731522271511040,"07:47:44.55","+28:52:07.5",20,0.243,0.679,"U","U"
587731522271511040,"07:47:54.79","+28:51:44.1",28,0.844,0.12,"E","E4"
587731522271576576,"07:47:39.85","+28:58:50.8",33,0.725,0.124,"U","U"
587731680111100160,"07:53:48.09","+29:30:43.9",32,0.221,0.704,"U","U"
587731680111100160,"07:54:01.54","+29:26:16.9",23,0.117,0.615,"U","U"
587731680111100160,"07:54:02.77","+29:22:58.9",66,0.218,0.553,"U","U"
587731680111100160,"07:54:21.03","+29:29:10.1",36,0.551,0.079,"U","U"
587731680647643648,"07:50:01.69","+29:10:25.5",38,0.074,0.712,"U","U"
587731680647643648,"07:50:15.52","+29:08:44.6",26,0.094,0.706,"U","U"
587731680647971072,"07:51:59.22","+29:45:44.7",26,0.099,0.837,"S","EDGE"
587731680647971072,"07:52:04.14","+29:45:02.0",28,0.463,0.385,"U","U"
587731680647971072,"07:52:17.12","+29:50:03.6",36,0.219,0.713,"S","EDGE"
587731680649216256,"08:01:44.74","+31:50:18.1",36,0.865,0.106,"U","U"
587731680649216256,"08:01:45.02","+31:53:27.8",27,0,1,"S","ACW"
587731681184842112,"07:51:23.28","+29:59:16.5",65,0.14,0.709,"U","U"
587731681184907520,"07:51:17.24","+30:05:51.6",25,0.101,0.635,"U","U"
587731872845398656,"07:36:59.62","+26:19:50.9",31,0.169,0.74,"S","ACW"
587731681186152960,"08:00:31.12","+32:10:40.4",50,0.246,0.669,"U","U"
587731872845857280,"07:38:55.29","+27:10:22.2",27,0.009,0.991,"S","CW"
587731872846119040,"07:40:37.38","+27:42:28.3",27,0.122,0.238,"U","U"
587731873382334976,"07:35:19.44","+26:42:17.1",75,0.026,0.974,"S","EDGE"
587731873382335104,"07:35:39.05","+26:45:14.3",31,0.468,0.365,"U","U"
587731873382662528,"07:37:33.51","+27:16:41.0",17,0,1,"S","EDGE"
587731873382662528,"07:37:43.07","+27:15:10.1",31,0,1,"S","CW"
587731873919205888,"07:34:05.75","+26:56:46.2",31,0.286,0.714,"S","EDGE"
587731873919205888,"07:34:06.15","+26:52:21.8",30,0.047,0.953,"S","CW"
587731873919205888,"07:34:09.28","+26:55:51.6",58,0.679,0.109,"U","U"
587731873919271552,"07:34:01.21","+27:09:57.2",33,0.034,0.966,"S","EDGE"
587731873920385280,"07:41:15.21","+29:04:03.9",37,0.189,0.568,"U","U"
587731873920385280,"07:41:15.74","+29:08:04.7",31,0.219,0.749,"U","U"
587731873920385280,"07:41:18.86","+29:07:15.1",36,0.556,0.444,"U","U"
587731873922482560,"07:55:14.87","+32:54:35.5",29,0.203,0.749,"S","EDGE"
587731874458108416,"07:45:31.72","+30:55:24.2",37,0.836,0.097,"U","U"
587731874458108416,"07:45:42.18","+30:53:42.3",25,0,0.96,"S","EDGE"
587731885731479680,"07:45:48.27","+28:48:38.0",33,0.485,0.303,"U","U"
587731886268023296,"07:42:54.26","+28:28:18.8",25,0.211,0.585,"U","U"
587731886269399296,"07:51:07.46","+30:57:24.2",61,0.019,0.945,"S","EDGE"
587731886269399296,"07:51:33.35","+30:55:52.2",48,0.688,0.167,"U","U"
587731886269399296,"07:51:40.71","+30:54:43.7",30,0.038,0.962,"S","EDGE"
587731886269399296,"07:51:50.12","+30:49:36.1",47,0.402,0.534,"S","EDGE"
587731886805680512,"07:46:01.58","+30:12:36.2",24,0.148,0.852,"S","ACW"
587731886805680512,"07:46:14.76","+30:02:09.1",61,0.373,0.263,"U","U"
587731886805680512,"07:46:33.14","+30:04:57.1",25,0.6,0.04,"U","U"
587731886805680640,"07:46:12.87","+30:11:58.4",29,0.931,0.034,"E","E6"
587731886805680640,"07:46:29.15","+30:03:23.5",51,0.183,0.622,"U","U"
587732054310126336,"07:54:40.35","+27:57:42.2",56,0.189,0.649,"U","U"
587732054310388224,"07:56:28.68","+28:29:52.3",28,0.083,0.735,"U","U"
587732054846865792,"07:52:32.03","+28:07:30.2",25,0.6,0,"U","U"
587732054846865792,"07:52:35.84","+28:03:00.3",54,0,1,"S","ACW"
587732054846865792,"07:52:39.36","+28:04:04.1",47,0.706,0.145,"U","U"
587732152555929984,"07:48:43.89","+23:41:09.6",36,0.028,0.972,"S","EDGE"
587732153629147648,"07:42:13.81","+23:24:00.8",28,0.234,0.697,"U","U"
587732153629147648,"07:42:23.15","+23:29:14.2",22,0.673,0.054,"U","U"
587732153629147648,"07:42:34.49","+23:25:48.5",34,0,1,"S","EDGE"
587732156852601088,"07:58:38.93","+26:22:01.7",51,0.344,0.53,"U","U"
587732156852601088,"07:58:48.09","+26:21:08.4",25,0.632,0.168,"U","U"
587732156852601088,"07:58:49.84","+26:19:27.1",77,0.47,0.333,"U","U"
587732157387244288,"07:41:57.08","+23:01:20.1",32,0.084,0.826,"S","EDGE"
587732157387375232,"07:42:37.33","+23:23:22.6",64,0.266,0.641,"U","U"
587732470382985600,"08:00:56.85","+26:28:46.4",21,0.81,0.048,"E","E3"
587732470382985600,"08:01:09.64","+26:24:18.5",35,0.014,0.9,"S","CW"
587732470382985600,"08:01:14.15","+26:28:45.2",70,0.373,0.494,"U","U"
587732470382985600,"08:01:16.27","+26:26:57.2",60,0.742,0.072,"U","U"
587732470918939136,"07:52:58.80","+25:16:58.2",38,0.15,0.722,"U","U"
587732470918939136,"07:53:10.74","+25:22:11.3",26,0.315,0.685,"S","ACW"
587732470919266688,"07:55:15.51","+25:53:11.7",25,0.057,0.943,"S","EDGE"
587732471455875584,"07:52:04.59","+25:41:44.9",72,0.832,0.071,"E","E1"
587732471455940864,"07:52:17.63","+25:54:56.6",25,0.064,0.889,"S","EDGE"
587732471455940864,"07:52:44.80","+25:47:10.8",62,0,0.871,"S","CW"
587734622161076864,"07:44:02.35","+20:57:16.3",57,0.066,0.869,"S","ACW"
587734622162977024,"07:57:44.90","+23:49:29.2",25,0.058,0.751,"U","U"
587734841205916160,"07:55:51.44","+23:48:33.0",26,0.104,0.793,"S","ACW"
587735042533818624,"07:59:49.81","+22:03:13.2",24,0.522,0.352,"U","U"
587735043070623872,"07:58:17.29","+22:11:41.3",31,0.581,0.226,"U","U"
587735044142596736,"07:42:49.65","+20:14:11.7",52,0.006,0.994,"S","ACW"
587735044143645312,"07:50:51.74","+21:41:16.0",52,0.077,0.769,"U","U"
587735044143841920,"07:51:48.99","+21:59:39.4",67,0.183,0.665,"U","U"
587735044143841920,"07:52:12.00","+22:04:12.3",65,0.617,0.241,"U","U"
587735236342120832,"07:44:45.79","+19:46:15.7",34,0.16,0.792,"S","EDGE"
587735236342120832,"07:44:57.44","+19:40:41.1",25,0.126,0.714,"U","U"
587735236880826752,"07:57:25.55","+22:44:44.8",35,0.096,0.904,"S","EDGE"
587735236880826752,"07:57:27.02","+22:48:26.1",62,0.068,0.909,"S","EDGE"
587735236880826752,"07:57:27.49","+22:47:10.0",38,0.895,0.053,"E","E0"
587735236880826752,"07:57:37.59","+22:46:54.9",33,0.618,0.314,"U","U"
587737809028120960,"07:34:32.55","+40:49:05.3",29,0.353,0.553,"U","U"
587737809028120960,"07:34:46.40","+40:47:15.1",44,0.821,0.065,"U","U"
587737809028120960,"07:35:00.94","+40:41:42.0",38,0.193,0.502,"U","U"
587737809030480128,"07:48:42.20","+45:31:03.3",23,0.465,0.463,"U","U"
587737809030480128,"07:49:14.59","+45:22:33.5",56,0.557,0.269,"U","U"
587737809030545664,"07:48:39.26","+45:35:45.8",26,0.052,0.861,"S","CW"
587737809030545664,"07:49:27.36","+45:31:58.5",24,0.693,0.098,"U","U"
587737809030545664,"07:49:45.94","+45:33:19.5",40,0.725,0.196,"U","U"
587737809563943680,"07:27:21.17","+38:49:35.7",25,0.343,0.657,"S","EDGE"
587737809564926336,"07:32:07.46","+40:46:54.2",36,0.714,0.119,"U","U"
587737809564926336,"07:32:17.83","+40:51:12.3",28,0.151,0.613,"U","U"
