id HubbleType isElliptical
144846 Sab-Scd NotElliptical
145059 Sd-Irr NotElliptical
145073 Sd-Irr NotElliptical
145247 - Elliptical
145267 LBS NotElliptical
145375 - Elliptical
145382 - Elliptical
145460 Sd-Irr NotElliptical
145465 - Elliptical
145525 Sd-Irr NotElliptical
145583 Sab-Scd NotElliptical
145718 Sd-Irr NotElliptical
145729 S0-Sa NotElliptical
163518 S0-Sa NotElliptical
163527 Sd-Irr LBS
163529 Sab-Scd NotElliptical
163556 Sab-Scd NotElliptical
163588 Sab-Scd NotElliptical
163602 Sd-Irr NotElliptical
163608 - LBS
163609 S0-Sa NotElliptical
163615 - Elliptical
163626 Sab-Scd NotElliptical
163641 S0-Sa NotElliptical
163710 S0-Sa NotElliptical
163784 Sab-Scd NotElliptical
163806 Sd-Irr NotElliptical
163826 E Elliptical
163828 Sab-Scd NotElliptical
163829 S0-Sa NotElliptical
163830 Sab-Scd NotElliptical
163831 Sab-Scd NotElliptical
163886 E Elliptical
163887 E Elliptical
163916 E LBS
163924 Sab-Scd NotElliptical
163926 Sd-Irr NotElliptical
163927 Sab-Scd NotElliptical
163965 Sab-Scd NotElliptical
163988 - Elliptical
164016 - LBS
164060 - Elliptical
164070 Sd-Irr NotElliptical
164071 - Elliptical
164118 Sab-Scd NotElliptical
164145 - Elliptical
164146 - Elliptical
164149 Sab-Scd NotElliptical
164156 - Elliptical
164210 Sd-Irr NotElliptical
164379 - Elliptical
164407 - Elliptical
164409 - Elliptical
164423 - Elliptical
164453 - Elliptical
164455 Sab-Scd NotElliptical
164456 - Elliptical
164457 - Elliptical
164459 - Elliptical
164470 - Elliptical
164471 - Elliptical
164499 - Elliptical
164511 - Elliptical
164524 Sd-Irr NotElliptical
164539 - Elliptical
164607 - Elliptical
164618 - Elliptical
164619 - Elliptical
164620 - Elliptical
164625 - Elliptical
164628 - Elliptical
164629 - Elliptical
164633 - Elliptical
164634 - Elliptical
164638 Sd-Irr LBS
164639 - Elliptical
164640 - Elliptical
164677 - Elliptical
164686 - Elliptical
164688 - Elliptical
164705 - LBS
164760 - Elliptical
164761 - Elliptical
164769 - Elliptical
164902 E Elliptical
164905 E Elliptical
164906 - Elliptical
164948 Sab-Scd LBS
164974 - Elliptical
165011 - Elliptical
165048 - Elliptical
165100 - Elliptical
165165 S0-Sa NotElliptical
165297 - Elliptical
165333 S0-Sa NotElliptical
165334 Sd-Irr NotElliptical
165339 E Elliptical
165348 Sd-Irr NotElliptical
165362 - LBS
165363 Sd-Irr NotElliptical
165462 - Elliptical
165463 - Elliptical
165486 Sd-Irr NotElliptical
165507 Sd-Irr LBS
165516 LBS LBS
165523 Sab-Scd NotElliptical
165547 - Elliptical
165550 - Elliptical
165551 - Elliptical
165584 - Elliptical
165588 - Elliptical
165591 - Elliptical
165647 - LBS
165670 E Elliptical
165673 Sd-Irr LBS
165697 - LBS
165766 E Elliptical
165767 E Elliptical
165768 LBS NotElliptical
165770 S0-Sa NotElliptical
165794 Sab-Scd NotElliptical
165795 - Elliptical
165830 Sd-Irr NotElliptical
165927 - LBS
165936 - Elliptical
165964 - LBS
166062 Sd-Irr NotElliptical
166066 Sab-Scd NotElliptical
166087 Sab-Scd NotElliptical
166093 Sd-Irr NotElliptical
166145 - Elliptical
166151 - Elliptical
166160 - LBS
166202 - Elliptical
166203 - Elliptical
166280 - Elliptical
170324 Sd-Irr NotElliptical
170343 Sab-Scd NotElliptical
170415 Sd-Irr NotElliptical
170554 Sd-Irr NotElliptical
170581 S0-Sa NotElliptical
170630 E Elliptical
170653 Sab-Scd NotElliptical
170654 Sab-Scd NotElliptical
170686 Sab-Scd LBS
170689 Sab-Scd NotElliptical
170693 Sab-Scd NotElliptical
170695 Sd-Irr NotElliptical
170704 Sab-Scd NotElliptical
170705 LBS LBS
170759 - Elliptical
170775 Sd-Irr NotElliptical
170827 Sab-Scd NotElliptical
170831 Sab-Scd NotElliptical
170913 - Elliptical
170935 - LBS
171035 S0-Sa NotElliptical
171115 - Elliptical
171116 - Elliptical
171121 - LBS
171133 - Elliptical
171136 - Elliptical
171139 - Elliptical
171140 - Elliptical
171149 - Elliptical
171152 - Elliptical
171172 - Elliptical
171175 - Elliptical
171177 - Elliptical
171180 - LBS
171181 - LBS
171201 LBS LBS
171256 Sd-Irr NotElliptical
171310 - Elliptical
171416 E Elliptical
171442 - Elliptical
171485 Sab-Scd NotElliptical
171488 - Elliptical
171542 - Elliptical
171546 - Elliptical
171607 LBS LBS
171610 Sd-Irr NotElliptical
171639 Sab-Scd NotElliptical
171642 - Elliptical
171643 - Elliptical
171660 LBS NotElliptical
171671 - Elliptical
171672 - Elliptical
171688 - Elliptical
171695 Sd-Irr NotElliptical
171706 S0-Sa NotElliptical
171710 - Elliptical
171725 - Elliptical
171777 Sd-Irr LBS
171801 - Elliptical
171803 - Elliptical
171908 - LBS
171911 - Elliptical
171955 - Elliptical
172045 - Elliptical
172046 - Elliptical
172071 - LBS
172072 - Elliptical
172073 - Elliptical
172075 - Elliptical
172076 - Elliptical
172098 - Elliptical
172110 Sd-Irr NotElliptical
172119 Sab-Scd NotElliptical
172123 S0-Sa NotElliptical
172160 Sd-Irr NotElliptical
172214 - Elliptical
172215 - Elliptical
172216 - LBS
172247 - Elliptical
172268 Sd-Irr NotElliptical
172317 LBS NotElliptical
172318 Sab-Scd NotElliptical
172320 - Elliptical
172433 Sab-Scd NotElliptical
172447 Sd-Irr NotElliptical
172494 Sab-Scd NotElliptical
172498 - Elliptical
172499 Sab-Scd NotElliptical
172503 - Elliptical
172504 Sd-Irr NotElliptical
172517 LBS LBS
172519 Sab-Scd NotElliptical
172638 - Elliptical
172643 Sab-Scd NotElliptical
172692 - Elliptical
172700 - Elliptical
172726 - Elliptical
172727 Sab-Scd NotElliptical
172729 - Elliptical
172730 - Elliptical
172733 - LBS
172734 - Elliptical
172735 - LBS
172736 - LBS
172805 Sd-Irr NotElliptical
172848 - Elliptical
172851 - Elliptical
172909 Sab-Scd NotElliptical
172927 Sd-Irr NotElliptical
173034 - LBS
173053 - LBS
176780 Sd-Irr NotElliptical
176781 - Elliptical
176812 Sd-Irr NotElliptical
176868 LBS NotElliptical
176934 LBS NotElliptical
176955 Sab-Scd NotElliptical
176969 Sd-Irr NotElliptical
176984 S0-Sa NotElliptical
176990 Sab-Scd NotElliptical
177007 E Elliptical
177010 S0-Sa NotElliptical
177018 Sd-Irr NotElliptical
177038 Sd-Irr NotElliptical
177046 LBS NotElliptical
177081 Sd-Irr NotElliptical
177110 Sd-Irr NotElliptical
177143 S0-Sa NotElliptical
177165 - Elliptical
177183 - LBS
177185 - Elliptical
177186 E Elliptical
177197 - Elliptical
177225 - Elliptical
177228 - Elliptical
177229 - Elliptical
177232 - Elliptical
177234 - Elliptical
177247 - Elliptical
177260 - Elliptical
177297 E Elliptical
177301 - Elliptical
177333 - Elliptical
177334 - Elliptical
177335 - Elliptical
177336 - Elliptical
177337 Sd-Irr NotElliptical
177338 - Elliptical
177342 - Elliptical
177381 - Elliptical
177388 Sd-Irr NotElliptical
177391 Sd-Irr NotElliptical
177423 S0-Sa NotElliptical
177424 - Elliptical
177428 - Elliptical
177434 - Elliptical
177435 - Elliptical
177441 - Elliptical
177473 - Elliptical
177478 Sab-Scd NotElliptical
177481 Sd-Irr NotElliptical
177486 Sd-Irr LBS
177518 Sd-Irr NotElliptical
177588 Sab-Scd NotElliptical
177594 S0-Sa NotElliptical
177604 - Elliptical
177606 S0-Sa NotElliptical
177609 - LBS
177638 - Elliptical
177642 - Elliptical
177643 - Elliptical
177644 - Elliptical
177665 - Elliptical
177667 - Elliptical
177670 - Elliptical
177671 - Elliptical
177673 - Elliptical
177679 - Elliptical
177711 Sab-Scd NotElliptical
177750 - Elliptical
177781 - Elliptical
177816 Sab-Scd NotElliptical
177915 - LBS
177922 - Elliptical
177969 - Elliptical
177984 Sd-Irr NotElliptical
178030 - Elliptical
178047 - Elliptical
178068 Sd-Irr NotElliptical
178105 - Elliptical
178112 LBS NotElliptical
178149 Sab-Scd NotElliptical
178189 S0-Sa NotElliptical
178190 S0-Sa NotElliptical
178197 S0-Sa NotElliptical
178210 Sd-Irr NotElliptical
178249 Sd-Irr NotElliptical
178290 Sab-Scd NotElliptical
178300 Sab-Scd NotElliptical
178423 S0-Sa NotElliptical
178426 S0-Sa NotElliptical
178428 Sd-Irr LBS
178472 - Elliptical
178481 Sd-Irr NotElliptical
178578 Sd-Irr NotElliptical
178580 Sd-Irr NotElliptical
178585 Sd-Irr NotElliptical
178801 Sd-Irr NotElliptical
178865 Sd-Irr NotElliptical
178886 - Elliptical
178950 E Elliptical
178955 Sab-Scd NotElliptical
179012 Sd-Irr NotElliptical
179038 Sd-Irr NotElliptical
179090 Sab-Scd NotElliptical
179180 - Elliptical
179300 Sab-Scd NotElliptical
179327 Sab-Scd NotElliptical
179412 Sd-Irr NotElliptical
179472 - Elliptical
179533 Sab-Scd NotElliptical
179582 LBS LBS
179617 - Elliptical
179665 LBS NotElliptical
183881 - Elliptical
183930 Sd-Irr NotElliptical
183932 Sd-Irr NotElliptical
184010 - Elliptical
184041 E Elliptical
184042 - Elliptical
184043 - Elliptical
184044 - Elliptical
184045 - Elliptical
184046 - Elliptical
184130 Sd-Irr NotElliptical
184147 - Elliptical
184159 Sd-Irr NotElliptical
184184 Sd-Irr NotElliptical
184202 - Elliptical
184234 Sab-Scd NotElliptical
184237 Sab-Scd NotElliptical
184267 Sab-Scd NotElliptical
184281 Sd-Irr NotElliptical
184283 Sd-Irr NotElliptical
184289 Sab-Scd NotElliptical
184308 - Elliptical
184354 Sd-Irr NotElliptical
184366 E Elliptical
184368 S0-Sa NotElliptical
184370 S0-Sa NotElliptical
184392 Sd-Irr NotElliptical
184403 Sd-Irr NotElliptical
184415 Sab-Scd NotElliptical
184550 - Elliptical
184577 - Elliptical
184648 E Elliptical
184657 - LBS
184658 - Elliptical
184686 - Elliptical
184718 Sab-Scd NotElliptical
184809 - LBS
184834 Sd-Irr NotElliptical
184926 - Elliptical
184932 - Elliptical
185088 - Elliptical
185190 Sab-Scd NotElliptical
185252 Sd-Irr NotElliptical
185266 Sd-Irr NotElliptical
185282 S0-Sa NotElliptical
185291 Sd-Irr NotElliptical
185296 Sd-Irr NotElliptical
185298 Sd-Irr NotElliptical
185332 Sab-Scd NotElliptical
185365 E Elliptical
185376 Sd-Irr NotElliptical
185396 Sd-Irr NotElliptical
185455 - Elliptical
185510 Sab-Scd NotElliptical
185567 - Elliptical
185569 LBS NotElliptical
185592 - Elliptical
185595 - Elliptical
185596 - Elliptical
185622 Sd-Irr NotElliptical
185635 Sd-Irr NotElliptical
185654 - Elliptical
185738 Sd-Irr NotElliptical
185787 Sd-Irr NotElliptical
185795 Sab-Scd NotElliptical
185863 LBS NotElliptical
185884 - Elliptical
185885 - Elliptical
186015 - Elliptical
186059 - Elliptical
186170 - Elliptical
186202 E Elliptical
186309 Sd-Irr NotElliptical
186373 Sd-Irr NotElliptical
186380 Sd-Irr NotElliptical
186399 Sab-Scd NotElliptical
186405 - Elliptical
186406 Sd-Irr NotElliptical
186468 - Elliptical
186470 - Elliptical
186500 - Elliptical
186507 - Elliptical
186537 - Elliptical
186538 - Elliptical
186539 - Elliptical
186717 Sd-Irr NotElliptical
186742 Sd-Irr NotElliptical
186769 LBS NotElliptical
186803 S0-Sa NotElliptical
186833 Sd-Irr NotElliptical
186861 Sd-Irr NotElliptical
196061 Sd-Irr NotElliptical
196096 Sab-Scd NotElliptical
196167 Sab-Scd NotElliptical
196565 Sd-Irr NotElliptical
196737 Sd-Irr NotElliptical
196804 Sd-Irr NotElliptical
196977 E Elliptical
197234 Sd-Irr NotElliptical
197419 Sd-Irr NotElliptical
197481 E Elliptical
197763 Sd-Irr NotElliptical
197842 - Elliptical
197843 Sd-Irr NotElliptical
197862 Sab-Scd NotElliptical
197866 Sab-Scd NotElliptical
197884 - Elliptical
198344 S0-Sa NotElliptical
198476 Sd-Irr NotElliptical
198503 Sab-Scd NotElliptical
198506 E Elliptical
198591 Sab-Scd NotElliptical
198631 E Elliptical
198697 Sd-Irr NotElliptical
198710 Sd-Irr NotElliptical
198771 Sab-Scd NotElliptical
202309 Sd-Irr NotElliptical
202310 Sd-Irr NotElliptical
202322 Sd-Irr NotElliptical
202327 LBS NotElliptical
202354 Sab-Scd NotElliptical
202359 E Elliptical
202373 Sd-Irr NotElliptical
202376 E Elliptical
202397 Sd-Irr NotElliptical
202398 S0-Sa NotElliptical
202399 E Elliptical
202408 E Elliptical
202418 Sd-Irr NotElliptical
202430 Sd-Irr NotElliptical
202443 S0-Sa NotElliptical
202464 S0-Sa NotElliptical
202466 Sd-Irr NotElliptical
202479 Sd-Irr NotElliptical
202480 E Elliptical
202492 Sd-Irr NotElliptical
202531 Sab-Scd NotElliptical
202636 Sab-Scd NotElliptical
202673 Sab-Scd NotElliptical
202691 Sd-Irr NotElliptical
202745 S0-Sa NotElliptical
202974 S0-Sa NotElliptical
203011 Sd-Irr NotElliptical
203037 Sd-Irr NotElliptical
203056 Sd-Irr NotElliptical
203114 - Elliptical
203118 Sd-Irr NotElliptical
203140 - Elliptical
203148 Sd-Irr NotElliptical
203242 - LBS
203371 Sd-Irr NotElliptical
203395 Sab-Scd NotElliptical
203557 LBS NotElliptical
203609 Sd-Irr NotElliptical
203616 Sab-Scd NotElliptical
203684 Sab-Scd NotElliptical
203727 Sd-Irr NotElliptical
203728 Sd-Irr NotElliptical
203729 S0-Sa NotElliptical
203765 Sab-Scd NotElliptical
203794 S0-Sa NotElliptical
203801 Sd-Irr NotElliptical
203828 Sd-Irr NotElliptical
203833 E Elliptical
203842 Sd-Irr NotElliptical
203918 Sab-Scd NotElliptical
203998 Sd-Irr NotElliptical
204096 Sab-Scd NotElliptical
204167 Sd-Irr NotElliptical
204226 Sd-Irr NotElliptical
204348 LBS NotElliptical
204377 Sab-Scd NotElliptical
204490 - Elliptical
204572 Sd-Irr NotElliptical
204577 Sd-Irr NotElliptical
204732 Sd-Irr NotElliptical
204757 Sd-Irr NotElliptical
204799 Sab-Scd NotElliptical
204803 S0-Sa NotElliptical
204832 S0-Sa NotElliptical
204835 Sd-Irr NotElliptical
204836 Sd-Irr NotElliptical
204839 E Elliptical
204868 LBS LBS
204870 Sd-Irr NotElliptical
204876 Sd-Irr NotElliptical
204877 E Elliptical
204892 Sd-Irr NotElliptical
204906 S0-Sa NotElliptical
204908 Sd-Irr NotElliptical
204914 Sd-Irr NotElliptical
204983 S0-Sa NotElliptical
205070 Sd-Irr NotElliptical
205084 Sab-Scd NotElliptical
205085 E Elliptical
205086 E Elliptical
205089 S0-Sa NotElliptical
205092 Sab-Scd NotElliptical
205093 S0-Sa NotElliptical
205094 Sab-Scd NotElliptical
205131 Sd-Irr NotElliptical
205154 S0-Sa NotElliptical
205155 E Elliptical
205158 E Elliptical
205161 E Elliptical
205162 Sab-Scd NotElliptical
205166 S0-Sa NotElliptical
205168 S0-Sa NotElliptical
205173 Sab-Scd NotElliptical
205175 Sd-Irr NotElliptical
205176 LBS LBS
205177 Sab-Scd NotElliptical
205183 S0-Sa NotElliptical
205198 Sd-Irr NotElliptical
205208 S0-Sa NotElliptical
205211 E Elliptical
205229 Sd-Irr NotElliptical
208490 Sab-Scd NotElliptical
208520 Sab-Scd NotElliptical
208560 - Elliptical
208578 Sab-Scd NotElliptical
208591 - Elliptical
208612 Sab-Scd NotElliptical
208652 E Elliptical
208666 E Elliptical
208781 Sd-Irr NotElliptical
208860 E Elliptical
208876 S0-Sa NotElliptical
208890 Sab-Scd NotElliptical
208892 Sd-Irr NotElliptical
208898 - Elliptical
208908 LBS LBS
208951 Sd-Irr NotElliptical
208981 - Elliptical
209095 Sd-Irr NotElliptical
209128 - Elliptical
209147 LBS LBS
209181 Sab-Scd NotElliptical
209184 - Elliptical
209203 Sd-Irr NotElliptical
209204 Sd-Irr NotElliptical
209214 Sd-Irr NotElliptical
209220 Sd-Irr NotElliptical
209319 Sd-Irr NotElliptical
209324 Sab-Scd NotElliptical
209368 - Elliptical
209414 Sd-Irr NotElliptical
209664 Sd-Irr NotElliptical
209678 S0-Sa NotElliptical
209680 E Elliptical
209681 E Elliptical
209697 S0-Sa NotElliptical
209706 - Elliptical
209708 Sd-Irr NotElliptical
209743 Sab-Scd NotElliptical
209793 Sd-Irr NotElliptical
209807 S0-Sa NotElliptical
209821 Sd-Irr NotElliptical
209830 Sab-Scd NotElliptical
209832 Sab-Scd NotElliptical
209855 Sd-Irr NotElliptical
209869 Sd-Irr NotElliptical
209876 LBS NotElliptical
209899 LBS LBS
209900 S0-Sa NotElliptical
209917 Sd-Irr NotElliptical
209919 Sd-Irr NotElliptical
210056 Sd-Irr NotElliptical
210060 Sd-Irr NotElliptical
210070 E Elliptical
210146 - Elliptical
210147 - Elliptical
210228 S0-Sa NotElliptical
210346 E Elliptical
210379 S0-Sa NotElliptical
210397 Sd-Irr NotElliptical
210411 Sab-Scd NotElliptical
210467 - Elliptical
210471 - Elliptical
210480 - Elliptical
210567 Sd-Irr NotElliptical
210669 - Elliptical
210748 - Elliptical
210781 Sab-Scd NotElliptical
210808 Sd-Irr NotElliptical
210818 - Elliptical
210820 Sab-Scd NotElliptical
210823 - Elliptical
210851 - Elliptical
210887 - Elliptical
210909 Sd-Irr NotElliptical
210916 Sd-Irr NotElliptical
210948 - Elliptical
210964 Sd-Irr NotElliptical
210986 Sd-Irr NotElliptical
211030 LBS LBS
214182 Sab-Scd NotElliptical
214184 S0-Sa NotElliptical
214211 - Elliptical
214245 Sd-Irr NotElliptical
214250 - Elliptical
214264 - Elliptical
214267 - Elliptical
214269 - Elliptical
214285 - Elliptical
214293 - Elliptical
214296 - Elliptical
214356 - Elliptical
214363 E Elliptical
214425 Sd-Irr NotElliptical
214431 S0-Sa NotElliptical
214462 Sab-Scd NotElliptical
214474 Sab-Scd NotElliptical
214483 - Elliptical
214514 Sd-Irr NotElliptical
214623 Sd-Irr NotElliptical
214624 S0-Sa NotElliptical
214652 Sd-Irr NotElliptical
214673 Sab-Scd NotElliptical
214678 E Elliptical
214748 LBS NotElliptical
214777 - Elliptical
214845 Sd-Irr NotElliptical
214860 Sab-Scd NotElliptical
214861 Sd-Irr NotElliptical
214895 E Elliptical
215039 - Elliptical
215051 Sab-Scd NotElliptical
215053 S0-Sa NotElliptical
215160 E Elliptical
215166 Sab-Scd NotElliptical
215192 Sd-Irr NotElliptical
215213 LBS NotElliptical
215289 E Elliptical
215292 Sab-Scd NotElliptical
215306 - Elliptical
215332 Sd-Irr NotElliptical
215335 S0-Sa NotElliptical
215368 Sd-Irr NotElliptical
215468 Sd-Irr NotElliptical
215648 Sd-Irr NotElliptical
215662 Sd-Irr NotElliptical
215698 S0-Sa NotElliptical
215721 - Elliptical
215730 Sd-Irr NotElliptical
215767 Sd-Irr NotElliptical
215812 Sab-Scd NotElliptical
215816 Sab-Scd NotElliptical
215821 - Elliptical
216095 Sd-Irr NotElliptical
216111 Sab-Scd NotElliptical
216139 Sd-Irr NotElliptical
216143 Sab-Scd NotElliptical
216149 S0-Sa NotElliptical
216155 Sab-Scd NotElliptical
216156 E Elliptical
216164 Sd-Irr NotElliptical
216166 - Elliptical
216184 E Elliptical
216187 - Elliptical
216190 - Elliptical
216205 Sd-Irr NotElliptical
216219 - Elliptical
216220 Sd-Irr NotElliptical
216259 LBS LBS
216262 - Elliptical
216403 Sd-Irr NotElliptical
216546 Sd-Irr NotElliptical
216592 - LBS
216643 - Elliptical
216644 - LBS
216670 S0-Sa NotElliptical
216672 LBS LBS
216716 - Elliptical
216843 Sd-Irr NotElliptical
216897 - Elliptical
217009 E Elliptical
217011 - Elliptical
218681 Sd-Irr NotElliptical
218688 - Elliptical
218711 LBS LBS
218712 Sab-Scd NotElliptical
218713 S0-Sa NotElliptical
218717 Sd-Irr NotElliptical
218729 - LBS
219673 Sd-Irr NotElliptical
219703 - Elliptical
219714 Sd-Irr NotElliptical
219718 Sd-Irr NotElliptical
219726 Sd-Irr NotElliptical
219728 - Elliptical
219730 - Elliptical
219833 - Elliptical
219975 LBS NotElliptical
220016 Sd-Irr NotElliptical
220066 - Elliptical
220069 - Elliptical
220084 Sd-Irr NotElliptical
220112 E Elliptical
220126 Sab-Scd NotElliptical
220162 - LBS
220170 Sab-Scd NotElliptical
220216 - Elliptical
220218 E Elliptical
220221 - Elliptical
220268 Sd-Irr NotElliptical
220275 Sab-Scd NotElliptical
220276 - Elliptical
220280 - Elliptical
220282 - Elliptical
220284 - Elliptical
220300 Sd-Irr NotElliptical
220302 Sd-Irr NotElliptical
220308 Sd-Irr NotElliptical
220319 Sd-Irr NotElliptical
220320 Sd-Irr NotElliptical
220326 Sab-Scd NotElliptical
220328 S0-Sa NotElliptical
220330 Sab-Scd NotElliptical
220332 S0-Sa NotElliptical
220333 - Elliptical
220355 Sd-Irr NotElliptical
220371 Sab-Scd NotElliptical
220372 S0-Sa NotElliptical
220374 S0-Sa NotElliptical
220375 Sab-Scd NotElliptical
220380 Sab-Scd NotElliptical
220383 Sd-Irr NotElliptical
220436 LBS NotElliptical
220437 - Elliptical
220438 - Elliptical
220439 Sab-Scd NotElliptical
220442 E Elliptical
220450 Sd-Irr NotElliptical
220462 - Elliptical
220465 - Elliptical
220467 - Elliptical
220502 S0-Sa NotElliptical
220511 - Elliptical
220515 LBS NotElliptical
220578 S0-Sa NotElliptical
220582 LBS LBS
220602 Sab-Scd NotElliptical
220701 Sab-Scd NotElliptical
220729 LBS LBS
220748 Sd-Irr NotElliptical
220750 Sd-Irr NotElliptical
220751 Sd-Irr NotElliptical
220839 Sab-Scd NotElliptical
220848 Sd-Irr NotElliptical
220876 - Elliptical
220945 - LBS
220951 Sab-Scd NotElliptical
221013 - Elliptical
221017 - Elliptical
221050 Sab-Scd NotElliptical
221053 - Elliptical
221058 - Elliptical
221094 - Elliptical
221194 Sab-Scd NotElliptical
221206 - Elliptical
221276 - Elliptical
221277 - Elliptical
221281 - Elliptical
221283 - Elliptical
221332 - Elliptical
221334 - Elliptical
221336 Sd-Irr NotElliptical
221338 - Elliptical
221339 - Elliptical
221342 - Elliptical
221369 Sab-Scd LBS
221375 Sab-Scd NotElliptical
221412 LBS LBS
221432 Sd-Irr NotElliptical
227036 Sab-Scd NotElliptical
227043 Sab-Scd NotElliptical
227050 Sd-Irr NotElliptical
227066 LBS LBS
227079 Sd-Irr NotElliptical
227123 S0-Sa NotElliptical
227134 Sd-Irr NotElliptical
227167 Sd-Irr NotElliptical
227168 Sd-Irr NotElliptical
227176 Sab-Scd NotElliptical
227210 Sd-Irr NotElliptical
227230 Sab-Scd NotElliptical
227233 S0-Sa NotElliptical
227259 Sd-Irr NotElliptical
227264 S0-Sa NotElliptical
227266 E Elliptical
227285 - LBS
227289 Sab-Scd NotElliptical
227290 LBS NotElliptical
227312 S0-Sa NotElliptical
227315 - Elliptical
227316 Sd-Irr LBS
227317 Sd-Irr NotElliptical
227337 Sd-Irr NotElliptical
227351 Sab-Scd NotElliptical
227368 Sd-Irr NotElliptical
227371 Sd-Irr NotElliptical
227388 Sd-Irr NotElliptical
227407 Sd-Irr NotElliptical
227411 - LBS
227428 Sab-Scd NotElliptical
227433 Sd-Irr NotElliptical
227436 - Elliptical
227449 Sd-Irr NotElliptical
227460 LBS NotElliptical
227479 E Elliptical
227484 - Elliptical
227516 S0-Sa NotElliptical
227567 Sab-Scd NotElliptical
227599 Sd-Irr NotElliptical
227607 S0-Sa NotElliptical
227611 S0-Sa NotElliptical
227616 E Elliptical
227617 E Elliptical
227618 Sab-Scd NotElliptical
227619 Sab-Scd NotElliptical
227622 Sab-Scd NotElliptical
227640 Sd-Irr NotElliptical
227642 Sd-Irr NotElliptical
227643 Sd-Irr NotElliptical
227648 Sd-Irr NotElliptical
227649 Sab-Scd NotElliptical
227651 Sd-Irr NotElliptical
227657 Sd-Irr NotElliptical
227673 Sd-Irr NotElliptical
227719 Sab-Scd NotElliptical
227753 Sab-Scd NotElliptical
227818 Sab-Scd NotElliptical
227863 Sd-Irr NotElliptical
227905 S0-Sa NotElliptical
227919 - LBS
227921 Sd-Irr NotElliptical
227941 LBS NotElliptical
227961 Sab-Scd NotElliptical
227962 Sd-Irr NotElliptical
227964 Sd-Irr NotElliptical
227965 Sab-Scd NotElliptical
227970 Sab-Scd NotElliptical
228050 Sd-Irr NotElliptical
228066 S0-Sa NotElliptical
228071 Sd-Irr NotElliptical
228086 Sab-Scd NotElliptical
228090 - LBS
228102 Sab-Scd NotElliptical
228111 S0-Sa NotElliptical
228124 Sd-Irr NotElliptical
228142 - Elliptical
228187 - Elliptical
228217 Sd-Irr NotElliptical
228219 S0-Sa NotElliptical
228222 - Elliptical
228274 LBS NotElliptical
228278 Sd-Irr NotElliptical
228335 Sd-Irr NotElliptical
228345 LBS LBS
228380 Sab-Scd NotElliptical
228383 - LBS
228405 LBS NotElliptical
228428 Sab-Scd NotElliptical
228432 Sab-Scd NotElliptical
228551 - LBS
228566 Sab-Scd NotElliptical
228570 Sab-Scd NotElliptical
228573 Sd-Irr NotElliptical
228575 LBS NotElliptical
228608 Sab-Scd NotElliptical
228609 - Elliptical
228614 - Elliptical
228708 - Elliptical
228742 - Elliptical
228767 LBS LBS
228809 Sd-Irr NotElliptical
228833 - LBS
228890 E Elliptical
228992 Sd-Irr NotElliptical
229066 - Elliptical
229097 Sab-Scd NotElliptical
229112 Sd-Irr NotElliptical
229126 Sd-Irr NotElliptical
229127 Sd-Irr NotElliptical
229145 - Elliptical
229160 Sab-Scd NotElliptical
229162 Sab-Scd NotElliptical
229163 S0-Sa NotElliptical
229164 E Elliptical
229167 Sab-Scd NotElliptical
229175 LBS LBS
229177 Sd-Irr NotElliptical
229183 Sd-Irr NotElliptical
229201 Sd-Irr NotElliptical
229202 LBS NotElliptical
229220 E Elliptical
229234 Sd-Irr NotElliptical
229262 Sd-Irr NotElliptical
229263 LBS NotElliptical
229292 Sd-Irr NotElliptical
229294 Sd-Irr NotElliptical
229306 Sab-Scd NotElliptical
229313 LBS NotElliptical
229335 Sab-Scd NotElliptical
229357 Sd-Irr NotElliptical
229369 Sd-Irr NotElliptical
229417 - Elliptical
229427 - LBS
229428 LBS NotElliptical
229461 Sd-Irr NotElliptical
229499 Sd-Irr NotElliptical
229513 Sd-Irr NotElliptical
230147 Sd-Irr NotElliptical
230174 Sd-Irr NotElliptical
230207 - Elliptical
230259 - Elliptical
230260 - Elliptical
230262 - Elliptical
230289 - Elliptical
230291 - LBS
230364 Sd-Irr NotElliptical
230418 - Elliptical
230421 E Elliptical
230422 - Elliptical
230453 - Elliptical
230455 - Elliptical
230458 - Elliptical
230459 - LBS
230489 Sd-Irr NotElliptical
230556 - Elliptical
230558 - Elliptical
230560 Sab-Scd NotElliptical
230567 E Elliptical
230628 Sd-Irr NotElliptical
230634 S0-Sa NotElliptical
230636 S0-Sa NotElliptical
230670 Sd-Irr NotElliptical
230675 E Elliptical
230683 E Elliptical
230714 Sab-Scd NotElliptical
230718 S0-Sa NotElliptical
230719 S0-Sa NotElliptical
230776 E Elliptical
230777 E Elliptical
230786 E Elliptical
230787 E Elliptical
230789 E Elliptical
230793 S0-Sa NotElliptical
230796 E Elliptical
230797 E Elliptical
230829 Sab-Scd NotElliptical
230836 S0-Sa NotElliptical
230837 S0-Sa NotElliptical
230901 Sab-Scd NotElliptical
230903 - Elliptical
230904 - Elliptical
231024 Sab-Scd NotElliptical
231349 - Elliptical
231527 - Elliptical
231528 - Elliptical
231529 - Elliptical
231570 Sd-Irr NotElliptical
231573 Sab-Scd NotElliptical
231650 Sd-Irr NotElliptical
231670 Sd-Irr NotElliptical
231723 - LBS
231729 - Elliptical
231823 - Elliptical
231834 - Elliptical
