id HubbleType isElliptical
15205 Sd-Irr NotElliptical
15216 Sd-Irr NotElliptical
15220 Sd-Irr NotElliptical
15317 E Elliptical
15326 Sd-Irr NotElliptical
15327 Sab-Scd NotElliptical
15339 LBS NotElliptical
15379 Sd-Irr NotElliptical
15418 Sd-Irr NotElliptical
15444 S0-Sa NotElliptical
15481 E Elliptical
15490 Sd-Irr NotElliptical
15492 - Elliptical
15497 Sd-Irr NotElliptical
15509 S0-Sa NotElliptical
15510 Sab-Scd NotElliptical
15514 Sd-Irr NotElliptical
15516 Sd-Irr NotElliptical
15518 - Elliptical
15522 - Elliptical
15537 Sd-Irr NotElliptical
15538 Sd-Irr NotElliptical
15544 Sd-Irr NotElliptical
15561 Sd-Irr NotElliptical
15631 LBS NotElliptical
15663 - Elliptical
15664 - Elliptical
15766 LBS NotElliptical
15800 Sd-Irr NotElliptical
15823 Sd-Irr NotElliptical
15852 LBS LBS
15855 E LBS
15898 Sab-Scd NotElliptical
15961 Sd-Irr NotElliptical
15973 Sd-Irr NotElliptical
15992 Sd-Irr NotElliptical
16018 Sab-Scd NotElliptical
16022 E Elliptical
16050 Sd-Irr NotElliptical
16065 Sd-Irr NotElliptical
16070 Sab-Scd NotElliptical
16166 - Elliptical
16243 - Elliptical
16294 Sd-Irr NotElliptical
16310 Sd-Irr NotElliptical
16317 S0-Sa NotElliptical
16333 Sd-Irr NotElliptical
16386 - Elliptical
16392 E Elliptical
16412 Sd-Irr NotElliptical
16426 Sd-Irr NotElliptical
16430 Sd-Irr NotElliptical
16444 Sd-Irr NotElliptical
16445 Sd-Irr NotElliptical
16487 Sd-Irr NotElliptical
16488 LBS NotElliptical
16498 Sd-Irr NotElliptical
16507 E Elliptical
16514 E Elliptical
16515 E Elliptical
16519 S0-Sa NotElliptical
16523 Sab-Scd NotElliptical
16525 E Elliptical
16526 E Elliptical
16534 Sab-Scd NotElliptical
16537 Sd-Irr NotElliptical
16547 Sd-Irr NotElliptical
16567 - Elliptical
16590 Sd-Irr NotElliptical
16591 Sd-Irr NotElliptical
16739 Sd-Irr NotElliptical
16792 S0-Sa NotElliptical
16811 Sd-Irr NotElliptical
16823 Sd-Irr NotElliptical
16828 Sab-Scd NotElliptical
16848 Sd-Irr NotElliptical
16863 Sab-Scd NotElliptical
16869 LBS LBS
16873 Sab-Scd NotElliptical
16888 LBS LBS
16918 Sd-Irr NotElliptical
16926 S0-Sa NotElliptical
16948 Sab-Scd NotElliptical
16982 - LBS
16993 E LBS
17030 LBS LBS
17047 Sd-Irr NotElliptical
17055 LBS NotElliptical
17093 - Elliptical
17134 Sd-Irr NotElliptical
17138 - Elliptical
17176 Sd-Irr NotElliptical
17259 Sd-Irr NotElliptical
17263 LBS LBS
17294 - Elliptical
17296 Sd-Irr NotElliptical
17312 - Elliptical
17319 S0-Sa NotElliptical
17355 - Elliptical
17359 LBS NotElliptical
17360 Sd-Irr NotElliptical
17362 LBS NotElliptical
17368 - Elliptical
17385 E Elliptical
17390 - Elliptical
17410 Sd-Irr NotElliptical
17414 Sab-Scd NotElliptical
17429 Sd-Irr NotElliptical
21836 Sd-Irr NotElliptical
21910 Sd-Irr NotElliptical
21929 - Elliptical
21953 - Elliptical
21958 Sd-Irr NotElliptical
21979 Sd-Irr NotElliptical
21994 - Elliptical
22065 - LBS
22070 Sab-Scd NotElliptical
22099 - Elliptical
22128 - Elliptical
22170 Sab-Scd NotElliptical
22175 Sd-Irr NotElliptical
22178 Sd-Irr NotElliptical
22200 - LBS
22240 - Elliptical
22279 - Elliptical
22345 Sab-Scd NotElliptical
22352 Sd-Irr NotElliptical
22356 Sab-Scd NotElliptical
22457 - Elliptical
22486 Sd-Irr NotElliptical
22582 - Elliptical
22583 - Elliptical
22584 - LBS
22595 - Elliptical
22596 - Elliptical
22597 - Elliptical
22779 LBS NotElliptical
22805 Sab-Scd NotElliptical
22836 - Elliptical
22839 Sab-Scd NotElliptical
22844 S0-Sa NotElliptical
22849 - Elliptical
22859 Sab-Scd NotElliptical
22883 - Elliptical
22962 Sd-Irr NotElliptical
23047 - Elliptical
23070 - Elliptical
23075 S0-Sa NotElliptical
23081 - LBS
23082 - Elliptical
23114 - Elliptical
23117 - Elliptical
23118 - Elliptical
23153 - Elliptical
23180 - Elliptical
23247 Sd-Irr NotElliptical
23265 - Elliptical
23266 - Elliptical
23276 - Elliptical
23278 - Elliptical
23319 - Elliptical
23337 Sab-Scd NotElliptical
23341 - Elliptical
23375 - LBS
23381 - Elliptical
23434 Sd-Irr NotElliptical
23484 - Elliptical
23498 LBS NotElliptical
23499 Sd-Irr NotElliptical
23519 Sd-Irr NotElliptical
23578 Sab-Scd NotElliptical
23593 LBS NotElliptical
23623 - Elliptical
23630 - Elliptical
23669 Sd-Irr NotElliptical
23710 Sd-Irr NotElliptical
23737 Sd-Irr NotElliptical
23746 Sab-Scd NotElliptical
23751 - Elliptical
23865 Sd-Irr NotElliptical
23868 LBS NotElliptical
23878 - Elliptical
24013 Sab-Scd NotElliptical
24026 - Elliptical
24031 Sd-Irr NotElliptical
24058 LBS LBS
24060 - Elliptical
24080 - LBS
24102 - Elliptical
24103 Sd-Irr NotElliptical
24200 - Elliptical
24207 Sab-Scd NotElliptical
24348 - Elliptical
24399 LBS NotElliptical
24401 - Elliptical
24414 Sd-Irr NotElliptical
24433 Sd-Irr NotElliptical
28654 Sab-Scd NotElliptical
28709 Sd-Irr NotElliptical
28725 Sd-Irr NotElliptical
28736 Sd-Irr NotElliptical
28737 Sd-Irr NotElliptical
28738 S0-Sa NotElliptical
28741 Sd-Irr LBS
28742 LBS LBS
28743 LBS LBS
28758 - Elliptical
28770 Sd-Irr NotElliptical
28790 Sd-Irr NotElliptical
28798 Sd-Irr NotElliptical
28837 Sab-Scd NotElliptical
28860 Sab-Scd NotElliptical
28864 Sd-Irr NotElliptical
30346 Sab-Scd NotElliptical
30350 Sd-Irr NotElliptical
30361 - Elliptical
30364 - Elliptical
30367 - Elliptical
30377 Sd-Irr NotElliptical
30393 - Elliptical
30394 - Elliptical
30396 - Elliptical
30420 - Elliptical
30466 - Elliptical
30467 - Elliptical
30469 - Elliptical
30470 - Elliptical
30471 - Elliptical
30473 - Elliptical
30500 Sd-Irr NotElliptical
30615 - Elliptical
30621 - Elliptical
30664 Sd-Irr NotElliptical
30690 - Elliptical
30786 S0-Sa NotElliptical
30787 - Elliptical
30820 - Elliptical
30890 Sab-Scd NotElliptical
30893 - Elliptical
30911 E Elliptical
30916 S0-Sa NotElliptical
30922 - Elliptical
30937 Sd-Irr NotElliptical
30945 - Elliptical
30947 - Elliptical
30953 - Elliptical
31059 - Elliptical
31129 LBS NotElliptical
31219 - LBS
31274 - Elliptical
31377 LBS NotElliptical
31452 Sab-Scd NotElliptical
31480 Sd-Irr NotElliptical
31509 Sd-Irr NotElliptical
31520 Sab-Scd NotElliptical
31525 E Elliptical
31620 S0-Sa NotElliptical
31623 - Elliptical
31634 Sd-Irr NotElliptical
31725 Sd-Irr NotElliptical
31775 - Elliptical
31873 Sd-Irr NotElliptical
31957 LBS NotElliptical
32017 - Elliptical
32019 - Elliptical
32136 Sd-Irr NotElliptical
32140 - Elliptical
32195 - Elliptical
32196 - Elliptical
32200 - Elliptical
32249 Sd-Irr NotElliptical
32269 - Elliptical
32270 - Elliptical
32271 - Elliptical
32274 Sd-Irr NotElliptical
32295 Sd-Irr NotElliptical
32322 Sd-Irr NotElliptical
32362 Sab-Scd NotElliptical
32368 LBS NotElliptical
32425 Sd-Irr NotElliptical
32443 - Elliptical
32446 - LBS
32674 - Elliptical
32676 Sab-Scd NotElliptical
36855 Sd-Irr NotElliptical
36861 E Elliptical
36864 Sd-Irr NotElliptical
36867 Sd-Irr NotElliptical
36894 Sd-Irr NotElliptical
36910 E Elliptical
36915 Sd-Irr NotElliptical
36923 Sd-Irr NotElliptical
36956 LBS LBS
36981 Sd-Irr NotElliptical
36997 Sd-Irr NotElliptical
37017 Sd-Irr NotElliptical
37036 - Elliptical
37049 Sd-Irr NotElliptical
37050 Sd-Irr NotElliptical
37051 Sd-Irr NotElliptical
37063 E Elliptical
37077 Sd-Irr NotElliptical
38963 Sd-Irr NotElliptical
38980 Sd-Irr NotElliptical
38992 Sd-Irr NotElliptical
38994 Sd-Irr NotElliptical
38995 Sd-Irr NotElliptical
39003 Sd-Irr NotElliptical
39004 Sd-Irr NotElliptical
39057 E Elliptical
39108 Sd-Irr NotElliptical
39131 Sd-Irr NotElliptical
39145 E LBS
39148 Sd-Irr NotElliptical
39150 - Elliptical
39161 Sd-Irr NotElliptical
39196 - Elliptical
39197 - Elliptical
39263 Sab-Scd NotElliptical
39322 Sd-Irr NotElliptical
39341 Sd-Irr NotElliptical
39342 Sd-Irr NotElliptical
39365 Sab-Scd NotElliptical
39373 Sd-Irr NotElliptical
39388 - Elliptical
39391 - Elliptical
39396 - Elliptical
39472 - Elliptical
39477 - Elliptical
39479 - Elliptical
39485 - Elliptical
39512 - Elliptical
39582 - Elliptical
39594 Sd-Irr NotElliptical
39602 Sd-Irr NotElliptical
39669 - Elliptical
39671 E LBS
39716 - Elliptical
39968 - LBS
40016 - Elliptical
40020 - Elliptical
40083 - Elliptical
40096 Sd-Irr NotElliptical
40110 - Elliptical
40120 - Elliptical
40172 Sd-Irr NotElliptical
40175 Sd-Irr NotElliptical
40197 S0-Sa NotElliptical
40236 - Elliptical
40283 Sd-Irr NotElliptical
40300 - Elliptical
40304 - Elliptical
40337 - Elliptical
40403 - Elliptical
40420 Sd-Irr NotElliptical
40442 Sd-Irr NotElliptical
40445 - Elliptical
40453 Sd-Irr NotElliptical
40482 Sd-Irr NotElliptical
40490 - Elliptical
40491 - Elliptical
